image_name,caption,emotions
conceptualcaptions__duck-tours-amphibious-vehicle-giving-tourists-a-tour-of-london-c5x9gn.jpg,"tourist attraction , amphibious vehicle giving tourists a tour","['interested', 'excited', 'curious']"
conceptualcaptions__during-halloween-days-a-skeleton-hangs-in-barcelona-streets-while-f5c1bj.jpg,during halloween days a skeleton hangs in streets while a couple take something in a terrace on november,"['neutral', 'scared', 'excited']"
conceptualcaptions__e03e5f993a8165c1909cd5ba2982b6a9--time-travel-wrist-watches.jpg,watches are designed to display time in a much more natural way than your everyday wrist watch .,"['happy', 'curious', 'confused']"
conceptualcaptions__e1647d2cda8b11423a66c20e90d80094--florida.jpg,women are all smiles in red !,"['happy', 'excited']"
conceptualcaptions__e18afa6dd31182ef154206e009eee29b.jpg,senior members arrive at this year 's award ceremony,"['happy', 'beautiful', 'sad']"
conceptualcaptions__e21cd5ceb0d5c0520dc58f1f67d3ea74--orange-sandals-short-jackets.jpg,actor is trendy in a blue dress worn with a short jacket and orange sandals .,"['intrigued', 'neutral']"
conceptualcaptions__e2a657e2476d73760d32f63429b0d597--bryant-basketball-lakers-kobe-bryant.jpg,probably the second greatest player to ever play the game of basketball,"['awe', 'happy', 'excited', 'curious', 'inspired', 'sad', 'angry']"
conceptualcaptions__e51efeffbaa992bd9ce6e8565ff06fe8.jpg,how to style the white jeans with hijab -- just trendy girls,"['happy', 'excited', 'inspired', 'angry']"
conceptualcaptions__e549369a9606ec6d877031e169a54fed--golf-carts-wine-country.jpg,person of nature trail along a natural stream .,"['curious', 'excited', 'beautiful']"
conceptualcaptions__e753a33bcd842a820f687ee90a5797ef.jpg,throwback thursday : from our series comes this humorous portrait of monarch in sunglasses from yours truly,"['curious', 'good', 'happy']"
conceptualcaptions__e9a6cdc75549261d9d0a892d646c81f2--girl-with-pearl-earring-grey-pearl-earrings.jpg,go ahead and be the with this pair of yellow gold earrings !,"['happy', 'beautiful', 'confused']"
conceptualcaptions__ea02707c45d6d1c34be3bdcc114cfb6b--table-farmhouse-how-to-build-a-farmhouse-table.jpg,diy : how to build this farmhouse table - this is an excellent post that clearly explains and shows each step,"['proud', 'happy', 'inspired']"
conceptualcaptions__eaf95f45-dae2-4280-b6b4-37837533b6f4.jpg,every dessert is better with a little whipped cream .,"['happy', 'curious']"
conceptualcaptions__easter-crosses-outside-a-newcastle-church-enf5t5.jpg,western christian holiday crosses outside a church,"['hopeful', 'excited', 'curious', 'calm', 'confused']"
conceptualcaptions__ef12581692e70bf1b9213287422a7b8c--victorian-photos-victorian-design.jpg,attractive house with cute windows on 3rd floor and nice brackets under eaves .,"['interested', 'intrigued', 'excited', 'curious', 'joy', 'inspired']"
conceptualcaptions__elms-barn-wedding-photography-1055(pp_w768_h511).jpg,little girl at a wedding eyes the cake,['happy']
conceptualcaptions__empty-bottles-isolated-over-the-white-background-c8fa8d.jpg,empty bottles isolated over the white background,"['interested', 'happy', 'bored']"
conceptualcaptions__energetic-teenage-boy-jumping-from-one-rock-to-another-with-the-beach-HMYJ90.jpg,energetic teenage boy jumping from rock to another with the beach in the background,"['concerned', 'happy', 'excited', 'nostalgic']"
conceptualcaptions__example-of-modern-architecture-reflections-in-the-gate-complex-newcastle-dy8kd8.jpg,example of modern architecture - reflections in complex,"['intrigued', 'excited', 'curious', 'confused']"
conceptualcaptions__exeter-devon-the-custom-house-was-built-in-1680-and-is-a-major-tourist-at8f5j.jpg,a city was built and is a major tourist attraction along the quay,"['intrigued', 'happy', 'curious', 'beautiful', 'confused']"
conceptualcaptions__expensive-detached-houses-in-carlisle-cumbria-uk-with-a-spring-flower-cnrj7d.jpg,expensive detached houses with a flower bed,"['happy', 'excited', 'curious', 'beautiful', 'bored']"
conceptualcaptions__f018efd4055ef8177d22b0bfb948529b--garden-stones-garden-paths.jpg,add a fun creative stone pathway to your yard .,"['curious', 'beautiful', 'nostalgic']"
conceptualcaptions__f195fed42372ec0fea9f3b0263cb9a3a--antonio-conte-joga.jpg,football player has enjoyed a per cent start,"['happy', 'excited', 'curious', 'joy', 'confused', 'bored']"
conceptualcaptions__f3cd87dfc03bec181cf2bcf6dfc92efc--maple-kitchen-cabinets-kitchen-cabinet-doors.jpg,a striking kitchen cabinet offered at an unreal cost .,"['impressed', 'intrigued', 'interested', 'happy', 'curious', 'excited', 'inspired', 'nostalgic']"
conceptualcaptions__f4b3616a3a84ca4f82cf575ad5726848--starry-night-sky-night-skies.jpg,as a child i would lay at the end of our driveway with a portable radio and listen to music as i watched the stars in humid summer air .,"['awe', 'amazed', 'beautiful', 'nostalgic']"
conceptualcaptions__f4c0a3639553cc0b4b0023bb06ca8060.jpg,paintings by person he uses vivid colours in a vigorous application to represent the fast changing light conditions .,"['intrigued', 'interested', 'awe', 'happy', 'excited', 'amazed', 'beautiful', 'inspired']"
conceptualcaptions__f669343588938c848f7fbc44cf592bfe.jpg,"i see skies of blue and clouds of white the bright blessed day , the dark sacred night and i think to myself what a wonderful world .","['inspired', 'happy', 'calm']"
conceptualcaptions__fbcb73bde8d0393f0f2251eaf35e9fd6--pink-lace-hot-pink.jpg,... of course i put the hot pink laces on mine ;),"['happy', 'excited', 'curious', 'disgusted', 'nostalgic']"
conceptualcaptions__fc51d2de0bfd548e84de34380580233b.jpg,mom & her baby girl in same ethic clothes during a big fat wedding,"['happy', 'excited']"
conceptualcaptions__fnl-7888546.jpg,headline : young pregnant woman kneeling on a meadow,"['happy', 'excited', 'amazed', 'calm']"
conceptualcaptions__foilbackedfoam1.jpg,"somewhere between person - 12 and r - plus reflective foil , this constitutes far better insulation than the roof has ever had .","['good', 'happy', 'hopeful', 'curious', 'inspired', 'confused']"
conceptualcaptions__galaxy-in-deep-space-glowing-mysterious-universe-elements-of-this-K23CX4.jpg,"galaxy in deep space , glowing mysterious universe .","['intrigued', 'interested', 'amazed', 'inspired']"
conceptualcaptions__german-shepherd-dog-coming-out-of-the-water-dripping-wet-gf1yne.jpg,shepherd dog coming out of the water dripping wet,"['concerned', 'scared', 'happy', 'curious', 'calm', 'disgusted']"
conceptualcaptions__glasses-of-sweet-white-and-red-wine-ripe-cherries-and-apricots-on-j2n1an.jpg,glasses of sweet white and red wine .,"['interested', 'happy', 'curious', 'excited', 'calm']"
conceptualcaptions__graffiti-in-the-steep-side-streets-of-lisbon-portugal-KH83DT.jpg,graffiti in the steep side streets,"['interested', 'happy', 'sad', 'angry']"
conceptualcaptions__happy-golden-mantled-ground-squirrel-eating-a-cherry-enjoying-with-jfek3b.jpg,"happy golden mantled ground squirrel eating a cherry , enjoying with his eyes closed","['awe', 'good', 'happy', 'joy']"
conceptualcaptions__happy-woman-with-hand-pointing-at-you-isolated-over-a-white-background-CWWPA8.jpg,happy woman with hand pointing at you - isolated over a white background,"['happy', 'annoyed']"
conceptualcaptions__harvesting-basil-from-the-garden.jpg,harvesting basil fresh from the garden,"['neutral', 'inspired']"
conceptualcaptions__herkimer_scepter_160.jpg,a small stock of smoky quartz intersecting a transparent spherical piece of quartz .,"['awe', 'interested', 'good', 'happy', 'curious']"
conceptualcaptions__hernando-de-soto-bridge.jpg,also known as thealphabet bridge for looking like a big m .,"['awe', 'happy', 'excited', 'curious', 'amazed', 'bored']"
conceptualcaptions__high-metal-ladder-leading-to-the-sky-f64ejr.jpg,high metal ladder leading to the sky,"['intrigued', 'excited', 'worried', 'inspired']"
conceptualcaptions__ho_chi_minh_city_hall_920x500.jpg,the colonial style city hall behind well - kept gardens,"['impressed', 'awe', 'beautiful', 'sad', 'angry']"
conceptualcaptions__horses-waiting-for-a-new-owner-at-barnet-fair-north-london-date-circa-KRD13W.jpg,horses waiting for a new owner .,"['happy', 'sad']"
conceptualcaptions__iceland-in-winter-1510219408-1000X561.jpg,country in winter can be a wonderful sight to see,"['awe', 'excited', 'amazed', 'beautiful']"
conceptualcaptions__illustration-of-a-pink-piggy-bank-with-lots-of-gold-coins-and-a-big-da81wy.jpg,illustration of a pink piggy bank with lots of gold coins and a big dollar sign or symbol,"['interested', 'happy', 'excited', 'hopeful', 'curious', 'inspired']"
conceptualcaptions__image-of-happy-woman-holding-a-white-fabric-in-the-yellow-meadow-bw1c93.jpg,image of happy woman holding a white fabric in the yellow meadow,"['happy', 'calm', 'inspired', 'confused']"
conceptualcaptions__image2836.jpg,what a battle i had with this carp - fantastic .,"['interested', 'happy']"
conceptualcaptions__img_1158.jpg,walking thru an ancient alley,"['intrigued', 'curious', 'excited', 'beautiful', 'calm']"
conceptualcaptions__img_1581z-that-sea-going-captain-appears-to-be-a-pirate-who-has-dicovered-a-treasure-chest-or-perhaps-its-a-mirage-made-of-beach-sand-on-some-deserted-island.jpg,that sea - going captain appears to be a pirate who has discovered a treasure chest .,"['impressed', 'awe', 'proud', 'happy', 'excited', 'curious', 'amazed', 'inspired']"
conceptualcaptions__img_3932.jpg,late gothic revival structure and tower with the maple leaf proudly blowing in the wind .,"['proud', 'interested', 'happy', 'amazed', 'beautiful', 'bored']"
conceptualcaptions__in-rajasthan-after-attending-a-religious-celebration-seen-are-rajasthani-h8ht50.jpg,in indian state after attending a religious celebration seen are woman leaving the temple,"['interested', 'happy', 'beautiful']"
conceptualcaptions__isolated-full-artificial-christmas-tree-on-a-white-background-minimal-KETCE5.jpg,isolated full artificial christmas tree on a white background .,"['good', 'happy', 'excited']"
conceptualcaptions__israeli-peace-activist-planting-an-olive-tree-with-a-palestinian-girl-bcbmhg.jpg,peace activist planting an olive tree with a girl during the festival,['happy']
conceptualcaptions__jeanneau-64-guts.jpg,the true guts of the boat were easy to see and understand at this stage of construction .,"['intrigued', 'interested', 'good', 'confused']"
conceptualcaptions__kanyakumari-beach.jpg,a little bit of the sun set in the horizon,"['good', 'calm']"
conceptualcaptions__little-toddler-girl-watching-her-brother-drawing-with-colorful-pencils-fwkfnb.jpg,little toddler girl watching her brother drawing with colorful pencils at a white desk next to a big window,"['happy', 'calm', 'nostalgic']"
conceptualcaptions__looking-up-into-the-liberty.jpg,looking up into tourist attraction .,"['happy', 'amazed', 'nostalgic']"
conceptualcaptions__luxury-red-car-outside-expensive-shops-in-the-upmarket-area-of-tallinn-bayxmf.jpg,luxury red car outside expensive shops in the upmarket area,"['happy', 'curious', 'annoyed']"
conceptualcaptions__man-driving-a-jeep-on-a-busy-street-in-jaipur-india-j4a1hw.jpg,man driving a jeep on a busy street,"['intrigued', 'happy', 'curious']"
conceptualcaptions__man-with-bike-waiting-for-the-light-to-turn-green-before-crossing-dc9e85.jpg,man with bike waiting for the light to turn green,"['neutral', 'nostalgic', 'fear']"
conceptualcaptions__many-sailboats-docked-in-the-harbor-of-a-colorful-port-on-belize-d443bg.jpg,many sailboats docked in the harbor of a colorful port,"['impressed', 'good', 'curious', 'beautiful']"
conceptualcaptions__may-6-2011-san-francisco-california-us-willie-mays-addresses-the-crowd-dk5hc9.jpg,addresses the crowd during his 80th birthday celebration,"['happy', 'excited', 'inspired', 'confused']"
conceptualcaptions__medi.201411_cloud_cross.jpg,"share images , a cross formed out of cloud in the evening sky","['interested', 'beautiful', 'inspired']"
conceptualcaptions__metal-thin-mesh-in-the-form-of-a-fence-and-a-hedge-of-shrub-K2X8KK.jpg,metal thin mesh in the form of a fence and a hedge of shrub,"['happy', 'excited', 'calm', 'beautiful']"
conceptualcaptions__metallica_b4_blog-16.jpg,heavy metal artist performs at the concert,"['happy', 'excited']"
conceptualcaptions__moab-utah-visitors-on-a-ranger-led-hike-in-the-maze-like-fiery-furnace-B3G8NY.jpg,person on a ranger led hike in the maze like section,"['interested', 'happy', 'excited']"
conceptualcaptions__newborn-baby-on-a-purple-background-picture-from-the-top-newborn-kid-jdejrm.jpg,"newborn baby on a purple background , picture from the top .","['happy', 'excited', 'beautiful', 'sad']"
conceptualcaptions__night-sky-on-ship1.jpg,"a night sky at sea is a beautiful thing to behold , especially if you 're holding the one you love .","['awe', 'beautiful', 'calm', 'nostalgic']"
conceptualcaptions__northerncommunity03.jpg,some decent views down into the swamp .,"['scared', 'happy', 'excited', 'sad']"
conceptualcaptions__october-10-2015-kahlil-mckenzie-1-of-the-tennessee-volunteers-encourages-F3R5FT.jpg,# of person encourages the fans to make noise during sports association,"['proud', 'interested', 'happy', 'excited', 'confused']"
conceptualcaptions__old-cars-sit-abandoned-in-a-field-under-the-west-texas-sun-off-of-gj78t6.jpg,old cars sit abandoned in a field under the sun outside a city,"['upset', 'happy', 'curious', 'worried', 'nostalgic', 'sad', 'angry']"
conceptualcaptions__pair-of-sarus-crane-in-a-beautiful-pose-e6bc6h.jpg,pair of biological species in a beautiful pose,"['happy', 'confused']"
conceptualcaptions__pharmacist-smiling-at-the-camera-holding-pack-of-medication-and-prescription-efwy72.jpg,pharmacist smiling at the camera holding pack of medication and prescription,"['neutral', 'good', 'curious', 'calm', 'sad']"
conceptualcaptions__photograph-woman-learning-photography-in-a-park-happy-with-a-green-dr6k9a.jpg,photograph woman learning photography in a park happy with a green unfocused background,"['joy', 'happy']"
conceptualcaptions__pic-by-edward-moss-preston-lead-singer-with-the-ordinary-boys-live-A006G9.jpg,pic by person lead singer live in concert,"['intrigued', 'upset', 'happy', 'excited', 'curious', 'confused']"
conceptualcaptions__pic0214.jpg,the ruins as seen in the late 's,"['interested', 'scared', 'curious', 'fear']"
conceptualcaptions__pickup-car-on-white-background-mock-up-easy-ad-some-creative-design-h2h3w6.jpg,pickup car on white background mock up .,"['scared', 'bored']"
conceptualcaptions__point-nepean-and-port-phillip-bay-on-a-hot-summers-day-in-victoria-dekmpy.jpg,a city and bay on a hot summer 's day,"['interested', 'happy', 'curious', 'calm']"
conceptualcaptions__pretty-teenage-girl-lying-down-on-her-front-outside-at-a-skate-park-f1a337.jpg,pretty teenage girl lying down on her front outside at a skate park,"['beautiful', 'happy']"
conceptualcaptions__pretty-thatched-country-cottage-in-the-village-of-allington-wiltshire-e2kn3g.jpg,pretty thatched country cottage in the village,"['interested', 'happy', 'beautiful', 'calm', 'bored', 'nostalgic']"
conceptualcaptions__prickly-pear-fruit-isolated-on-a-white-studio-background-b8kt77.jpg,prickly pear fruit isolated on a white studio background,"['interested', 'good', 'happy', 'curious', 'confused']"
conceptualcaptions__profile-view-of-a-colorful-chameleon-on-a-branch-KDYX0C.jpg,profile view of a colorful chameleon on a branch,"['intrigued', 'happy']"
conceptualcaptions__r960-df06fee38ce1b05802a8b46fb28578c2.jpg,"novelist settles her reining horse , in his stall during the competition .","['scared', 'worried', 'sad']"
conceptualcaptions__reflections-in-a-modern-glass-building-c6f9jc.jpg,reflections in a modern glass building,"['good', 'beautiful']"
conceptualcaptions__reinforced-concrete-piles-lie-on-the-ground-after-unloading-with-a-j05tkn.jpg,reinforced concrete piles lie on the ground after unloading with a loader on the railway,"['impressed', 'happy']"
conceptualcaptions__retired-woman-feeling-pain-in-the-chest-outdoors-j8xt6j.jpg,retired woman feeling pain in the chest outdoors,"['concerned', 'scared', 'worried', 'sad']"
conceptualcaptions__roasted-butternut-squash-and-feta-cheese-wrap-sandwich-studio-shot-ctwg80.jpg,roasted butternut squash and feta cheese wrap sandwich - studio shot with a white background,"['interested', 'sad', 'happy', 'excited']"
conceptualcaptions__roe-deer-eating-fresh-grass-on-the-meadow-top-view-wildlife-animals-K1TNX5.jpg,"roe deer eating fresh grass on the meadow , top view .","['good', 'happy', 'excited']"
conceptualcaptions__roger-waters-and-children-from-atlantas-music-project-roger-waters-K1HBXM.jpg,progressive rock artist and children from tv genre .,"['intrigued', 'happy', 'excited', 'sad']"
conceptualcaptions__ruins-of-the-chapel-of-saint-jude-thaddeus-g2x8pa.jpg,ruins of the chapel of person,"['interested', 'excited', 'curious', 'sad']"
conceptualcaptions__santa-claus-with-a-little-boy-and-a-teddy-bear-in-front-of-a-fire-b32xh0.jpg,film character with a little boy and a teddy bear in front of a fire place,"['happy', 'nostalgic']"
conceptualcaptions__singer-and-keyboardist-dennis-deyoung-of-the-rock-band-styx-at-the-K0GJBN.jpg,progressive rock artist of person,"['impressed', 'intrigued', 'interested', 'curious', 'confused']"
conceptualcaptions__ski-resort_beaver-creek_n4787-55066-0_l.jpg,a ski resort for young and old alike .,"['good', 'excited', 'curious', 'inspired']"
conceptualcaptions__small-white-house.jpg,little white house in the woods,"['happy', 'excited', 'curious', 'beautiful', 'calm']"
conceptualcaptions__some-folks-go-in-by-trail.jpg,some folks go in by trail around the spring to the river which has warmer water .,"['happy', 'nostalgic']"
conceptualcaptions__sri-manja-boutique-hotel.jpg,beautiful caption of the hotel,"['interested', 'neutral', 'happy', 'excited', 'beautiful']"
conceptualcaptions__st-lukes-church-liverpool-is-a-former-anglican-parish-church-known-drh8ba.jpg,"is a former parish church , known locally as late gothic revival structure","['awe', 'intrigued', 'curious', 'excited', 'amazed']"
conceptualcaptions__st-pauls-cathedral-is-an-anglican-cathedral-noted-for-its-gothic-architecture-J7ABRN.jpg,late gothic revival structure is a cathedral noted for its gothic architecture located,"['awe', 'interested', 'excited', 'curious', 'amazed', 'beautiful', 'inspired']"
conceptualcaptions__stairs-storage-ideas-72.jpg,under ladder : how to use space under ladder ? 7 awesome under the stairs,"['intrigued', 'interested', 'happy', 'inspired', 'confused']"
conceptualcaptions__stock-photo-a-bouquet-of-roses-isolated-on-white-background-40508263.jpg,a bouquet of roses isolated on white background,"['intrigued', 'happy', 'beautiful']"
conceptualcaptions__stock-photo-a-brilliant-burst-of-glowing-blue-lights-like-that-of-going-into-outer-space-18472774.jpg,a brilliant burst of glowing blue lights like that of going into outer space,"['intrigued', 'awe', 'happy', 'excited', 'curious']"
conceptualcaptions__stock-photo-a-red-bauble-with-the-golden-shape-of-ohio-hanging-on-a-christmas-tree-isolated-on-black-series-239711158.jpg,a red bauble with the golden shape hanging on a christmas tree isolated on black .,"['happy', 'curious', 'excited', 'joy', 'sad']"
conceptualcaptions__stock-photo-ambulance-waiting-at-the-hospital-for-a-patient-2284184.jpg,ambulance waiting at the hospital for a patient,"['calm', 'sad']"
conceptualcaptions__stock-photo-and-the-winner-is-words-beneath-a-gold-trophy-prize-or-award-for-announcement-or-ceremony-360574595.jpg,"and the winner is words beneath a gold trophy , prize or award for announcement or ceremony","['happy', 'hopeful', 'excited']"
conceptualcaptions__stock-photo-beautiful-butterfly-with-black-and-white-wings-sipping-nectar-from-a-white-flower-629492084.jpg,"beautiful butterfly with black and white wings , sipping nectar from a white flower","['amazed', 'beautiful']"
conceptualcaptions__stock-photo-black-chrome-metallic-lowercase-or-small-letter-a-in-a-d-illustration-with-a-glossy-or-shiny-675824920.jpg,black chrome metallic lowercase or small letter a in a 3d illustration with a glossy or shiny silver metal edge and basic bold text font style isolated on a white background,"['interested', 'happy', 'confused', 'bored']"
conceptualcaptions__stock-photo-bombay-black-cat-with-yellow-eyes-lying-on-a-white-background-looking-to-the-side-775260442.jpg,"black cat with yellow eyes lying on a white background , looking to the side","['concerned', 'scared', 'happy', 'joy', 'confused']"
conceptualcaptions__stock-photo-children-s-warm-coat-isolated-on-a-white-background-230608732.jpg,children 's warm coat isolated on a white background,"['interested', 'nostalgic']"
conceptualcaptions__stock-photo-colorful-sky-after-the-sunset-natural-sky-background-154176392.jpg,colorful sky after the sunset .,['happy']
conceptualcaptions__stock-photo-cute-little-fashion-girl-in-a-dress-isolated-over-white-187050893.jpg,cute little fashion girl in a dress .,"['intrigued', 'happy', 'sad']"
conceptualcaptions__stock-photo-dream-happiness-young-girl-in-a-field-with-flying-balloons-691632349.jpg,"dream , happiness - young girl in a field with flying balloons","['concerned', 'happy', 'hopeful', 'curious', 'beautiful', 'inspired', 'sad']"
conceptualcaptions__stock-photo-eritrea-eritrean-flag-on-the-map-of-africa-in-soft-grunge-and-vintage-style-like-watercolor-476956144.jpg,"country on the map in soft grunge and vintage style , like watercolor painting on old paper .","['impressed', 'interested', 'happy']"
conceptualcaptions__stock-photo-etched-metal-lowercase-or-small-letter-g-with-a-dark-black-gray-scratched-metallic-rough-industrial-667736410.jpg,etched metal lowercase or small letter g with a dark black gray scratched metallic rough industrial surface in a 3d illustration isolated on a white background with clipping path .,"['interested', 'good', 'curious', 'confused']"
conceptualcaptions__stock-photo-fashion-illustration-women-s-dress-on-a-hanger-hand-drawn-seamless-geometric-pattern-fabric-276131411.jpg,"fashion illustration , women 's dress on a hanger , hand drawn seamless geometric pattern , fabric repeating texture tribal ethnic ornament , elements for invitation or greeting card design .","['impressed', 'intrigued', 'curious']"
conceptualcaptions__stock-photo-gesture-happy-children-in-a-series-of-graduated-isolated-on-white-background-261829043.jpg,"gesture , happy children in a series of graduated isolated on white background .","['proud', 'happy', 'excited', 'joy']"
conceptualcaptions__stock-photo-hand-drawn-portrait-of-cute-little-girl-with-long-hair-standing-on-the-green-grass-next-to-flying-654083374.jpg,hand drawn portrait of cute little girl with long hair standing on the green grass next to flying butterfly isolated on white background .,"['happy', 'calm']"
conceptualcaptions__stock-photo-hand-holding-an-empty-notepad-notebook-isolated-on-white-220056622.jpg,hand holding an empty notepad isolated on white,"['interested', 'curious', 'calm', 'inspired', 'bored', 'confused']"
conceptualcaptions__stock-photo-illustration-of-an-acrobatic-lion-and-pig-30269509.jpg,illustration of an acrobatic lion and pig,"['happy', 'excited']"
conceptualcaptions__stock-photo-japan-from-space-shaded-relief-map-colored-according-to-natural-appearance-with-major-urban-29886664.jpg,"filming location from space , shaded relief map .","['intrigued', 'interested', 'inspired', 'confused']"
conceptualcaptions__stock-photo-liquid-metal-letter-c-alphabet-symbol-isolated-on-a-white-background-64790149.jpg,liquid metal letter c - alphabet symbol isolated on a white background,"['interested', 'good', 'happy', 'curious', 'annoyed', 'confused']"
conceptualcaptions__stock-photo-little-boy-enthusiastically-working-with-montessori-materials-sitting-at-the-table-isolated-on-189582353.jpg,little boy enthusiastically working with materials sitting at the table .,"['concerned', 'interested', 'happy', 'excited']"
conceptualcaptions__stock-photo-old-wall-clock-with-roman-numerals-over-a-carved-and-scratched-wall-76592851.jpg,old wall clock with roman numerals over a carved and scratched wall,"['neutral', 'beautiful', 'inspired', 'bored', 'sad']"
conceptualcaptions__stock-photo-pink-rough-textured-metallic-uppercase-or-capital-letter-n-in-a-d-illustration-with-an-elegant-753761329.jpg,pink rough textured metallic uppercase or capital letter n in a 3d illustration with an elegant soft color and chiseled metal texture jagged font isolated on a white background with clipping path .,"['interested', 'neutral', 'good', 'scared', 'happy', 'sad']"
conceptualcaptions__stock-photo-portrait-of-a-cute-little-boy-wearing-glasses-isolated-over-white-101658994.jpg,"portrait of a cute little boy wearing glasses , isolated over white","['happy', 'hopeful', 'excited', 'sad']"
conceptualcaptions__stock-photo-red-cup-isolated-on-a-white-background-770892640.jpg,red cup isolated on a white background,"['good', 'happy', 'bored']"
conceptualcaptions__stock-photo-seamless-floral-pattern-with-flowers-on-a-black-background-botanical-illustration-with-watercolor-357875909.jpg,seamless floral pattern with flowers on a black background .,"['neutral', 'good', 'happy', 'curious', 'excited']"
conceptualcaptions__stock-photo-set-of-colorful-stickers-with-different-numbers-logo-template-for-happy-birthday-cartoon-686312260.jpg,set of colorful stickers with different numbers .,"['happy', 'curious', 'nostalgic']"
conceptualcaptions__stock-photo-set-viking-equipment-shield-sword-ax-and-helmet-executed-in-the-form-of-the-emblem-474486622.jpg,"set equipment : shield , sword , ax and helmet , executed in the form of the emblem .","['scared', 'excited', 'confused', 'nostalgic', 'fear']"
conceptualcaptions__stock-photo-shot-of-a-young-man-getting-his-teeth-checked-by-a-dentist-444245404.jpg,shot of a young man getting his teeth checked by a dentist .,"['scared', 'excited', 'worried', 'curious', 'sad', 'fear']"
conceptualcaptions__stock-photo-smiling-female-in-german-dress-holding-a-glass-beer-mug-oktoberfest-concept-718635919.jpg,smiling female in dress holding a glass beer mug .,"['interested', 'happy', 'excited', 'annoyed']"
conceptualcaptions__stock-photo-soccer-ball-with-bronze-royal-crown-is-a-symbol-of-competition-and-winner-s-trophy-on-white-d-408047593.jpg,soccer ball with bronze royal crown is a symbol of competition and winner 's trophy on white .,"['happy', 'excited']"
conceptualcaptions__stock-photo-the-antique-gold-frame-on-the-white-background-200483903.jpg,the antique gold frame on the white background,"['good', 'curious', 'excited', 'bored']"
conceptualcaptions__stock-photo-very-high-quality-original-trendy-illustration-of-a-cute-cat-622994309.jpg,very high quality original trendy illustration of a cat,"['intrigued', 'happy', 'confused']"
conceptualcaptions__stock-photo-watercolor-polar-deers-arctic-foxes-and-owls-in-the-forest-seamless-pattern-hand-painted-on-a-769057471.jpg,"watercolor polar deers , arctic foxes and owls in the forest seamless pattern , hand painted on a blue background","['impressed', 'proud', 'happy', 'hopeful']"
conceptualcaptions__stock-photo-young-cats-in-front-of-a-barn-111409505.jpg,young cats in front of a barn,"['happy', 'curious', 'worried', 'joy']"
conceptualcaptions__stock-vector-a-seamless-pattern-of-abstract-tribal-design-with-geometric-design-element-296301083.jpg,a seamless pattern of abstract tribal design with geometric design element .,"['upset', 'interested', 'good', 'beautiful', 'calm', 'angry', 'inspired', 'bored']"
conceptualcaptions__stock-vector-a-set-of-beautiful-mandalas-round-ornamental-pattern-269770061.jpg,a set of beautiful mandalas .,"['intrigued', 'happy', 'beautiful', 'calm']"
conceptualcaptions__stock-vector-beautiful-hearts-with-a-piercing-arrow-seamless-valentine-s-day-pattern-364358888.jpg,beautiful hearts with a piercing arrow .,"['happy', 'excited', 'bored', 'calm']"
conceptualcaptions__stock-vector-beautiful-witch-with-a-broom-standing-on-halloween-sky-background-325212335.jpg,beautiful witch with a broom standing on sky background,"['neutral', 'happy', 'excited', 'angry']"
conceptualcaptions__stock-vector-cartoon-colorful-seamless-pattern-of-twelve-funny-zodiac-signs-and-stars-on-a-white-background-304408139.jpg,cartoon colorful seamless pattern of funny signs and stars on a white background .,"['interested', 'happy', 'curious']"
conceptualcaptions__stock-vector-cute-girl-in-sketch-style-on-a-french-background-vector-illustration-137699642.jpg,cute girl in sketch - style on a french background,"['impressed', 'neutral', 'happy']"
conceptualcaptions__stock-vector-cute-vector-illustration-hand-making-a-heart-shape-love-symbol-design-for-banner-flyer-poster-550922182.jpg,cute vector illustration : hand making a heart shape .,"['happy', 'annoyed', 'inspired', 'bored']"
conceptualcaptions__stock-vector-electric-strike-fireworks-with-heart-shape-vector-illustration-style-is-flat-intensive-red-iconic-578168767.jpg,electric strike fireworks with heart shape .,"['happy', 'excited', 'hopeful']"
conceptualcaptions__stock-vector-expensive-and-beautiful-vintage-bracelet-of-precious-stones-diamonds-gold-and-silver-pattern-609834662.jpg,"expensive and beautiful vintage bracelet of precious stones , diamonds , gold and silver .","['impressed', 'happy', 'excited', 'curious', 'beautiful', 'annoyed', 'confused']"
conceptualcaptions__stock-vector-fight-for-love-lettering-gold-paint-similar-to-the-foil-handmade-vector-calligraphy-your-design-529447453.jpg,"fight for gold paint , similar to the foil .","['neutral', 'good', 'happy']"
conceptualcaptions__stock-vector-illustration-of-an-angry-lion-on-a-white-background-126159836.jpg,illustration of an angry lion on a white background,"['interested', 'happy', 'angry']"
conceptualcaptions__stock-vector-illustration-of-an-isolated-waving-bank-note-with-a-piece-of-sushi-572838856.jpg,illustration of an isolated waving bank note with a piece of sushi,"['curious', 'joy', 'confused']"
conceptualcaptions__stock-vector-illustration-of-black-swan-icon-isolated-on-a-white-background-162785552.jpg,illustration isolated on a white background,"['interested', 'good', 'confused', 'bored']"
conceptualcaptions__stock-vector-it-s-the-most-wonderful-time-of-the-year-vintage-greeting-card-with-handmade-typography-and-467408768.jpg,it 's the most wonderful time of the year .,"['happy', 'excited', 'joy', 'annoyed']"
conceptualcaptions__stock-vector-kw-letter-logo-in-a-circle-gold-and-silver-colored-vector-design-template-elements-for-your-714903346.jpg,"logo in a circle , gold and silver colored .","['impressed', 'interested', 'curious', 'bored']"
